"","subject","slOrder","pfOrder","languageA","languageB","SL1correct","SL2correct","PF1avg","PF2avg","SLtype","SLcorrect","PFtype","PFavg"
"1","0aEn0wDnq",2,2,"English","Chinese",0.357142857142857,0.404761904761905,184.375,123.125,"Chinese",0.404761904761905,"Chinese",123.125
"2","0BAJlOcD5",2,2,"Chinese","Chinese",0.428571428571429,0.833333333333333,133.125,96.25,"Chinese",0.833333333333333,"Chinese",96.25
"3","0LT9JwaUE",1,2,"English","English",0.404761904761905,0.547619047619048,108.4375,126.25,"Chinese",0.404761904761905,"Chinese",126.25
"4","1H1p7oEuK",2,2,"Chinese","Chinese",0.5,0.619047619047619,195.625,94.375,"Chinese",0.619047619047619,"Chinese",94.375
"5","1l8rtfbtD",2,1,"English","English",0.285714285714286,0.357142857142857,131.25,NA,"Chinese",0.357142857142857,"Chinese",131.25
"6","2ck1akV3d",2,2,"Chinese","Chinese",0.333333333333333,0.785714285714286,185,95.625,"Chinese",0.785714285714286,"Chinese",95.625
"7","2fOJx7I5L",2,1,"English","English",0.452380952380952,0.357142857142857,116.875,134.375,"Chinese",0.357142857142857,"Chinese",116.875
"8","2I54W9ZAX",2,1,"English","English",0.642857142857143,0.380952380952381,139.375,119.375,"Chinese",0.380952380952381,"Chinese",139.375
"9","2q9t5vo2D",1,1,"Chinese","Chinese",0.30952380952381,0.357142857142857,109.6875,209.375,"Chinese",0.30952380952381,"Chinese",109.6875
"10","2zbTVYg1w",1,2,"Chinese","Chinese",0.880952380952381,0.5,100,104.375,"Chinese",0.880952380952381,"Chinese",104.375
"11","33V6zn2gn",2,2,"English","English",0.666666666666667,0.523809523809524,128.75,126.5625,"Chinese",0.523809523809524,"Chinese",126.5625
"12","3o0EmVRqQ",1,1,"English","English",0.452380952380952,0.428571428571429,132.5,111.25,"Chinese",0.452380952380952,"Chinese",132.5
"13","3O2VgVcWv",2,2,"Chinese","Chinese",0.428571428571429,0.642857142857143,122.5,87.5,"Chinese",0.642857142857143,"Chinese",87.5
"14","3SRSHC1gh",2,1,"Chinese","Chinese",0.333333333333333,0.357142857142857,76.25,103.75,"Chinese",0.357142857142857,"Chinese",76.25
"15","4c0n27tza",1,1,"English","English",0.642857142857143,0.714285714285714,125,128.125,"Chinese",0.642857142857143,"Chinese",125
"16","5A7nSw9JF",1,1,"Chinese","Chinese",0.476190476190476,0.476190476190476,111.25,116.25,"Chinese",0.476190476190476,"Chinese",111.25
"17","5F6SvT2jB",2,2,"Chinese","Chinese",0.261904761904762,0.452380952380952,125,59.0625,"Chinese",0.452380952380952,"Chinese",59.0625
